Acurite-Tower-13772,1645408584,50.4,37.4,32,20,0,0
Acurite-609TXC-210,1645408646,50.7,37.7,34,21,0,0
Acurite-6045M-90,1645408646,48.0,35.0,33,20,6,21
Acurite-Tower-2235,1645408646,65.5,53.5,39,26,0,0
Acurite-Tower-6694,1645408646,69.4,57.4,39,27,0,0
Acurite-Tower-13772,1645409186,50.2,37.2,32,20,0,0
Acurite-609TXC-210,1645409248,50.7,37.7,34,21,0,0
Acurite-Tower-2235,1645409248,65.5,53.5,39,26,0,0
Acurite-Tower-6694,1645409248,69.1,57.1,39,27,0,0
Acurite-Tower-13772,1645409788,50.2,37.2,33,20,0,0
Acurite-609TXC-210,1645409849,50.4,37.4,34,21,0,0
Acurite-6045M-90,1645409849,48.0,35.0,33,20,7,17
Acurite-Tower-2235,1645409849,65.5,53.5,39,26,0,0
Acurite-Tower-6694,1645409849,68.9,56.9,39,26,0,0
Acurite-Tower-13772,1645410389,49.6,36.6,34,20,0,0
Acurite-609TXC-210,1645410451,50.0,37.0,35,21,0,0
Acurite-6045M-90,1645410451,48.0,35.0,33,20,8,12
Acurite-Tower-2235,1645410451,65.3,53.3,39,26,0,0
Acurite-Tower-6694,1645410451,68.9,56.9,39,26,0,0
Acurite-Tower-13772,1645410991,49.3,36.3,34,20,0,0
Acurite-609TXC-210,1645411053,49.5,37.5,36,21,0,0
Acurite-Tower-2235,1645411053,65.3,53.3,39,26,0,0
Acurite-Tower-6694,1645411053,68.5,56.5,39,26,0,0
Acurite-Tower-13772,1645411593,49.1,36.1,34,20,0,0
Acurite-609TXC-210,1645411654,49.5,37.5,36,21,0,0
Acurite-6045M-90,1645411654,47.1,34.1,32,19,9,7
Acurite-Tower-2235,1645411654,65.3,53.3,39,26,0,0
Acurite-Tower-6694,1645411654,68.5,56.5,40,27,0,0
Acurite-Tower-13772,1645412194,48.7,35.7,34,20,0,0
Acurite-609TXC-210,1645412255,49.3,37.3,37,21,0,0
Acurite-6045M-90,1645412255,47.1,34.1,32,19,9,7
Acurite-Tower-2235,1645412255,65.5,53.5,39,26,0,0
Acurite-Tower-6694,1645412255,68.5,56.5,40,27,0,0
Acurite-Tower-13772,1645412795,48.6,35.6,34,20,0,0
Acurite-609TXC-210,1645412857,48.7,36.7,38,21,0,0
Acurite-6045M-90,1645412857,47.1,34.1,33,20,9,7
Acurite-Tower-2235,1645412857,65.7,53.7,39,26,0,0
Acurite-Tower-6694,1645412857,68.4,56.4,40,27,0,0
Acurite-Tower-13772,1645413397,48.2,35.2,35,20,0,0
Acurite-609TXC-210,1645413459,48.6,36.6,38,21,0,0
Acurite-6045M-90,1645413459,47.1,34.1,33,20,9,7
Acurite-Tower-2235,1645413459,65.5,53.5,39,26,0,0
Acurite-Tower-6694,1645413459,68.2,57.2,41,27,0,0
Acurite-Tower-13772,1645413999,47.8,34.8,35,20,0,0
Acurite-609TXC-210,1645414060,48.2,36.2,39,21,0,0
Acurite-Tower-2235,1645414060,65.5,53.5,40,26,0,0
Acurite-Tower-6694,1645414060,68.0,57.0,41,27,0,0
Acurite-Tower-13772,1645414600,47.7,35.7,36,20,0,0
Acurite-609TXC-210,1645414662,48.0,36.0,40,22,0,0
Acurite-6045M-90,1645414662,47.1,34.1,33,20,10,17
Acurite-Tower-2235,1645414662,65.5,53.5,40,26,0,0
Acurite-Tower-6694,1645414662,67.8,56.8,42,27,0,0
Acurite-Tower-13772,1645415202,47.7,35.7,36,20,0,0
Acurite-609TXC-210,1645415264,48.2,36.2,40,22,0,0
Acurite-6045M-90,1645415264,47.3,34.3,33,20,11,15
Acurite-Tower-2235,1645415264,65.5,53.5,40,26,0,0
Acurite-Tower-6694,1645415264,67.8,56.8,42,27,0,0
Acurite-Tower-13772,1645415804,47.7,35.7,36,20,0,0
Acurite-609TXC-210,1645415865,48.2,36.2,40,22,0,0
Acurite-6045M-90,1645415865,47.3,34.3,33,20,11,15
Acurite-Tower-2235,1645415865,65.5,53.5,40,26,0,0
Acurite-Tower-6694,1645415865,67.6,56.6,42,27,0,0
Acurite-Tower-13772,1645416405,47.8,35.8,36,20,0,0
Acurite-609TXC-210,1645416467,48.2,36.2,40,22,0,0
Acurite-6045M-90,1645416467,47.3,34.3,33,20,11,15
Acurite-Tower-2235,1645416467,65.5,53.5,40,26,0,0
Acurite-Tower-6694,1645416467,67.5,56.5,42,27,0,0
